node,P_min_current,P_min_heatwave,P_min_heat_ageing,P_bar_current,E_duration_current_h,E_deficit_current_mgL_h,E_depth_while_below_mgL,demand_L_s,likelihood,severity,consequence,risk_score_breach,risk_score_severity,risk_band_current,risk_band_severity,band_shift_severity_minus_breach,risk_band_heat_ageing,escalates_under_heat,monitored,sampling_priority,control_measure
15,1.0,1.0,1.0,0.457,21.95,1.39,0.0633,16.67,almost certain,prolonged,major,15,12,very high,very high,0,very high,False,True,0.0,Review dosing/booster strategy; consider flushing or turnover improvement
151,1.0,1.0,1.0,0.156,7.48,0.316,0.0423,9.75,almost certain,sustained,major,15,9,very high,high,-1,very high,False,False,0.0,Review dosing/booster strategy; consider flushing or turnover improvement
247,1.0,1.0,1.0,0.042,2.0,0.18,0.0899,4.75,almost certain,brief,major,15,6,very high,medium,-2,very high,False,False,0.0,Review dosing/booster strategy; consider flushing or turnover improvement
131,1.0,1.0,1.0,0.97,46.55,4.251,0.0913,2.88,almost certain,persistent,moderate,10,10,very high,very high,0,very high,False,False,0.0,Review dosing/booster strategy; consider flushing or turnover improvement
145,1.0,1.0,1.0,0.25,12.02,1.683,0.14,1.86,almost certain,prolonged,moderate,10,8,very high,high,-1,very high,False,True,0.0,Review dosing/booster strategy; consider flushing or turnover improvement
149,1.0,1.0,1.0,0.126,6.04,0.294,0.0487,1.83,almost certain,sustained,moderate,10,6,very high,medium,-2,very high,False,False,0.0,Review dosing/booster strategy; consider flushing or turnover improvement
153,1.0,1.0,1.0,0.373,17.89,0.657,0.0367,2.98,almost certain,prolonged,moderate,10,8,very high,high,-1,very high,False,False,0.0,Review dosing/booster strategy; consider flushing or turnover improvement
253,1.0,1.0,1.0,0.167,8.0,0.758,0.0947,3.68,almost certain,sustained,moderate,10,6,very high,medium,-2,very high,False,False,0.0,Review dosing/booster strategy; consider flushing or turnover improvement
255,1.0,1.0,1.0,0.167,8.0,0.704,0.088,2.73,almost certain,sustained,moderate,10,6,very high,medium,-2,very high,False,False,0.0,Review dosing/booster strategy; consider flushing or turnover improvement
125,0.998,1.0,1.0,0.357,17.12,0.434,0.0254,3.08,almost certain,prolonged,moderate,10,8,very high,high,-1,very high,False,False,0.162,Review dosing/booster strategy; consider flushing or turnover improvement
127,1.0,1.0,1.0,0.435,20.89,0.497,0.0238,1.19,almost certain,prolonged,minor,5,4,medium,medium,0,medium,False,False,0.0,Scheduled sampling within the monitoring programme; watch trend
139,1.0,1.0,1.0,0.458,22.0,1.835,0.0834,0.4,almost certain,prolonged,minor,5,4,medium,medium,0,medium,False,False,0.0,Scheduled sampling within the monitoring programme; watch trend
141,1.0,1.0,1.0,0.465,22.31,2.222,0.0996,0.66,almost certain,prolonged,minor,5,4,medium,medium,0,medium,False,False,0.0,Scheduled sampling within the monitoring programme; watch trend
143,1.0,1.0,1.0,0.453,21.72,1.176,0.0541,0.42,almost certain,prolonged,minor,5,4,medium,medium,0,medium,False,False,0.0,Scheduled sampling within the monitoring programme; watch trend
147,1.0,1.0,1.0,0.155,7.45,0.591,0.0793,0.58,almost certain,sustained,minor,5,3,medium,low,-1,medium,False,False,0.0,Scheduled sampling within the monitoring programme; watch trend
243,1.0,1.0,1.0,0.273,13.09,0.701,0.0535,0.29,almost certain,prolonged,minor,5,4,medium,medium,0,medium,False,False,0.0,Scheduled sampling within the monitoring programme; watch trend
251,1.0,1.0,1.0,0.125,6.0,0.573,0.0954,1.63,almost certain,sustained,minor,5,3,medium,low,-1,medium,False,False,0.0,Scheduled sampling within the monitoring programme; watch trend
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.39,rare,negligible,major,3,3,low,low,0,low,False,False,0.0,No action beyond routine monitoring
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.82,rare,negligible,major,3,3,low,low,0,low,False,False,0.0,No action beyond routine monitoring
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.99,rare,negligible,major,3,3,low,low,0,low,False,False,0.0,No action beyond routine monitoring
